Cement (component 1)(kg in a m^3 mixture),Age (day),Water  (component 4)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture)
178.0,56,179.9,129.8,3.6,746.8,1007.3,118.6
167.4,56,175.5,129.9,7.8,746.6,1006.3,128.6
172.4,56,156.8,13.6,4.1,856.4,1006.3,172.4
173.5,56,164.8,50.1,6.5,793.5,1006.2,173.5
167.0,56,164.0,75.4,7.9,770.1,1007.3,167.0
173.8,56,172.3,93.4,9.7,746.6,1007.2,159.9
190.3,56,166.6,0.0,9.9,798.9,1079.0,125.2
250.0,56,191.8,0.0,5.3,857.2,948.9,95.7
213.5,56,159.2,0.0,11.7,771.9,1043.6,174.2
194.7,56,170.2,0.0,7.5,901.8,998.0,100.5
251.4,56,192.9,0.0,5.8,754.3,1043.6,118.3
165.0,100,163.8,0.0,0.0,900.9,1005.6,143.6
165.0,100,175.1,128.5,8.1,746.6,1005.8,132.1
178.0,100,179.9,129.8,3.6,746.8,1007.3,118.6
167.4,100,175.5,129.9,7.8,746.6,1006.3,128.6
172.4,100,156.8,13.6,4.1,856.4,1006.3,172.4
173.5,100,164.8,50.1,6.5,793.5,1006.2,173.5
167.0,100,164.0,75.4,7.9,770.1,1007.3,167.0
173.8,100,172.3,93.4,9.7,746.6,1007.2,159.9
190.3,100,166.6,0.0,9.9,798.9,1079.0,125.2
250.0,100,191.8,0.0,5.3,857.2,948.9,95.7
213.5,100,159.2,0.0,11.7,771.9,1043.6,174.2
194.7,100,170.2,0.0,7.5,901.8,998.0,100.5
251.4,100,192.9,0.0,5.8,754.3,1043.6,118.3
446.0,28,162.0,24.0,11.6,712.0,967.0,79.0
446.0,28,162.0,24.0,11.6,712.0,967.0,79.0
446.0,28,162.0,24.0,11.6,712.0,967.0,79.0
446.0,28,162.0,24.0,10.3,712.0,967.0,79.0
446.0,3,162.0,24.0,11.6,712.0,967.0,79.0
446.0,3,162.0,24.0,11.6,712.0,967.0,79.0
446.0,3,162.0,24.0,11.6,712.0,967.0,79.0
446.0,7,162.0,24.0,11.6,712.0,967.0,79.0
446.0,7,162.0,24.0,11.6,712.0,967.0,79.0
446.0,7,162.0,24.0,11.6,712.0,967.0,79.0
446.0,56,162.0,24.0,11.6,712.0,967.0,79.0
446.0,56,162.0,24.0,11.6,712.0,967.0,79.0
446.0,56,162.0,24.0,11.6,712.0,967.0,79.0
446.0,56,162.0,24.0,10.3,712.0,967.0,79.0
387.0,28,157.0,20.0,14.3,845.0,938.0,94.0
387.0,28,157.0,20.0,13.9,845.0,938.0,94.0
387.0,28,157.0,20.0,11.6,845.0,938.0,94.0
387.0,3,157.0,20.0,14.3,845.0,938.0,94.0
387.0,3,157.0,20.0,13.9,845.0,938.0,94.0
387.0,3,157.0,20.0,11.6,845.0,938.0,94.0
387.0,7,157.0,20.0,14.3,845.0,938.0,94.0
387.0,7,157.0,20.0,13.9,845.0,938.0,94.0
387.0,7,157.0,20.0,11.6,845.0,938.0,94.0
387.0,56,157.0,20.0,14.3,845.0,938.0,94.0
387.0,56,157.0,20.0,13.9,845.0,938.0,94.0
387.0,56,157.0,20.0,11.6,845.0,938.0,94.0
355.0,28,145.0,19.0,13.1,871.0,967.0,97.0
355.0,28,145.0,19.0,12.3,871.0,967.0,97.0
491.0,28,210.0,26.0,3.9,699.0,882.0,123.0
491.0,28,201.0,26.0,3.9,699.0,822.0,123.0
491.0,3,210.0,26.0,3.9,699.0,882.0,123.0
491.0,7,210.0,26.0,3.9,699.0,882.0,123.0
491.0,56,210.0,26.0,3.9,699.0,882.0,123.0
491.0,3,201.0,26.0,3.9,699.0,822.0,123.0
491.0,7,201.0,26.0,3.9,699.0,822.0,123.0
491.0,56,201.0,26.0,3.9,699.0,822.0,123.0
424.0,28,178.0,22.0,8.5,750.0,822.0,132.0
424.0,3,178.0,22.0,8.5,750.0,882.0,132.0
424.0,28,168.0,22.0,8.9,750.0,822.0,132.0
424.0,7,178.0,22.0,8.5,750.0,822.0,132.0
424.0,56,178.0,22.0,8.5,750.0,822.0,132.0
424.0,3,168.0,22.0,8.9,750.0,822.0,132.0
424.0,7,168.0,22.0,8.9,750.0,822.0,132.0
424.0,56,168.0,22.0,8.9,750.0,822.0,132.0
202.0,28,206.0,11.0,1.7,801.0,942.0,141.0
202.0,3,206.0,11.0,1.7,801.0,942.0,141.0
202.0,7,206.0,11.0,1.7,801.0,942.0,141.0
202.0,56,206.0,11.0,1.7,801.0,942.0,141.0
284.0,28,179.0,15.0,5.5,801.0,842.0,141.0
284.0,3,179.0,15.0,5.5,801.0,842.0,141.0
284.0,7,179.0,15.0,5.5,801.0,842.0,141.0
284.0,56,179.0,15.0,5.5,801.0,842.0,141.0
359.0,28,154.0,19.0,10.9,801.0,942.0,141.0
359.0,28,154.0,19.0,10.9,801.0,942.0,141.0
359.0,3,154.0,19.0,10.9,801.0,942.0,141.0
359.0,3,154.0,19.0,10.9,801.0,942.0,141.0
359.0,7,154.0,19.0,10.9,801.0,942.0,141.0
359.0,7,154.0,19.0,10.9,801.0,942.0,141.0
359.0,56,154.0,19.0,10.9,801.0,942.0,141.0
359.0,56,154.0,19.0,10.9,801.0,942.0,141.0
436.0,28,218.0,0.0,0.0,719.7,838.4,0.0
289.0,90,192.0,0.0,0.0,895.3,913.2,0.0
289.0,3,192.0,0.0,0.0,895.3,913.2,0.0
393.0,3,192.0,0.0,0.0,785.6,940.6,0.0
393.0,90,192.0,0.0,0.0,785.6,940.6,0.0
393.0,28,192.0,0.0,0.0,785.6,940.6,0.0
480.0,28,192.0,0.0,0.0,712.2,936.2,0.0
480.0,7,192.0,0.0,0.0,712.2,936.2,0.0
480.0,90,192.0,0.0,0.0,712.2,936.2,0.0
480.0,3,192.0,0.0,0.0,712.2,936.2,0.0
333.0,3,192.0,0.0,0.0,842.6,931.2,0.0
255.0,90,192.0,0.0,0.0,945.0,889.8,0.0
255.0,7,192.0,0.0,0.0,945.0,889.8,0.0
289.0,7,192.0,0.0,0.0,895.3,913.2,0.0
255.0,28,192.0,0.0,0.0,945.0,889.8,0.0
333.0,28,192.0,0.0,0.0,842.6,931.2,0.0
333.0,7,192.0,0.0,0.0,842.6,931.2,0.0
289.0,28,192.0,0.0,0.0,895.3,913.2,0.0
333.0,90,192.0,0.0,0.0,842.6,931.2,0.0
393.0,7,192.0,0.0,0.0,785.6,940.6,0.0
255.0,3,192.0,0.0,0.0,945.0,889.8,0.0
158.8,7,185.7,238.2,0.0,734.3,1040.6,0.0
239.6,7,185.7,359.4,0.0,664.3,941.6,0.0
238.2,7,185.7,158.8,0.0,734.3,1040.6,0.0
181.9,28,185.7,272.8,0.0,714.3,1012.4,0.0
193.5,28,185.7,290.2,0.0,704.3,998.2,0.0
255.5,7,185.7,170.3,0.0,724.3,1026.6,0.0
272.8,7,185.7,181.9,0.0,714.3,1012.4,0.0
239.6,28,185.7,359.4,0.0,664.3,941.6,0.0
220.8,28,185.7,147.2,0.0,744.3,1055.0,0.0
397.0,28,185.7,0.0,0.0,734.3,1040.6,0.0
382.5,7,185.7,0.0,0.0,739.3,1047.8,0.0
210.7,7,185.7,316.1,0.0,689.3,977.0,0.0
158.8,28,185.7,238.2,0.0,734.3,1040.6,0.0
295.8,7,185.7,0.0,0.0,769.3,1091.4,0.0
255.5,28,185.7,170.3,0.0,724.3,1026.6,0.0
203.5,7,185.7,135.7,0.0,759.3,1076.2,0.0
397.0,7,185.7,0.0,0.0,734.3,1040.6,0.0
381.4,28,185.7,0.0,0.0,784.3,1104.6,0.0
295.8,28,185.7,0.0,0.0,769.3,1091.4,0.0
228.0,28,185.7,342.1,0.0,674.3,955.8,0.0
220.8,7,185.7,147.2,0.0,744.3,1055.0,0.0
316.1,28,185.7,210.7,0.0,689.3,977.0,0.0
135.7,7,185.7,203.5,0.0,759.3,1076.2,0.0
238.1,28,185.7,0.0,0.0,789.3,1118.8,0.0
339.2,7,185.7,0.0,0.0,754.3,1069.2,0.0
135.7,28,185.7,203.5,0.0,759.3,1076.2,0.0
193.5,7,185.7,290.2,0.0,704.3,998.2,0.0
203.5,28,185.7,135.7,0.0,759.3,1076.2,0.0
290.2,7,185.7,193.5,0.0,704.3,998.2,0.0
181.9,7,185.7,272.8,0.0,714.3,1012.4,0.0
170.3,28,185.7,155.5,0.0,724.3,1026.6,0.0
210.7,28,185.7,316.1,0.0,689.3,977.0,0.0
228.0,7,185.7,342.1,0.0,674.3,955.8,0.0
290.2,28,185.7,193.5,0.0,704.3,998.2,0.0
381.4,7,185.7,0.0,0.0,784.3,1104.6,0.0
238.2,28,185.7,158.8,0.0,734.3,1040.6,0.0
186.2,7,185.7,124.1,0.0,764.3,1083.4,0.0
339.2,28,185.7,0.0,0.0,754.3,1069.2,0.0
238.1,7,185.7,0.0,0.0,789.3,1118.8,0.0
252.5,28,185.7,0.0,0.0,784.3,1111.6,0.0
382.5,28,185.7,0.0,0.0,739.3,1047.8,0.0
252.5,7,185.7,0.0,0.0,784.3,1111.6,0.0
316.1,7,185.7,210.7,0.0,689.3,977.0,0.0
186.2,28,185.7,124.1,0.0,764.3,1083.4,0.0
170.3,7,185.7,155.5,0.0,724.3,1026.6,0.0
272.8,28,185.7,181.9,0.0,714.3,1012.4,0.0
339.0,3,197.0,0.0,0.0,781.0,968.0,0.0
339.0,7,197.0,0.0,0.0,781.0,968.0,0.0
339.0,14,197.0,0.0,0.0,781.0,968.0,0.0
339.0,28,197.0,0.0,0.0,781.0,968.0,0.0
339.0,90,197.0,0.0,0.0,781.0,968.0,0.0
339.0,180,197.0,0.0,0.0,781.0,968.0,0.0
339.0,365,197.0,0.0,0.0,781.0,968.0,0.0
236.0,3,194.0,0.0,0.0,885.0,968.0,0.0
236.0,14,194.0,0.0,0.0,885.0,968.0,0.0
236.0,28,194.0,0.0,0.0,885.0,968.0,0.0
236.0,90,194.0,0.0,0.0,885.0,968.0,0.0
236.0,180,193.0,0.0,0.0,885.0,968.0,0.0
236.0,365,193.0,0.0,0.0,885.0,968.0,0.0
277.0,14,191.0,0.0,0.0,856.0,968.0,0.0
277.0,28,191.0,0.0,0.0,856.0,968.0,0.0
277.0,3,191.0,0.0,0.0,856.0,968.0,0.0
277.0,90,191.0,0.0,0.0,856.0,968.0,0.0
277.0,180,191.0,0.0,0.0,856.0,968.0,0.0
277.0,360,191.0,0.0,0.0,856.0,968.0,0.0
254.0,3,198.0,0.0,0.0,863.0,968.0,0.0
254.0,90,198.0,0.0,0.0,863.0,968.0,0.0
254.0,180,198.0,0.0,0.0,863.0,968.0,0.0
254.0,365,198.0,0.0,0.0,863.0,968.0,0.0
307.0,180,193.0,0.0,0.0,812.0,968.0,0.0
307.0,365,193.0,0.0,0.0,812.0,968.0,0.0
307.0,3,193.0,0.0,0.0,812.0,968.0,0.0
307.0,28,193.0,0.0,0.0,812.0,968.0,0.0
307.0,90,193.0,0.0,0.0,812.0,968.0,0.0
236.0,7,193.0,0.0,0.0,885.0,968.0,0.0
200.0,7,180.0,0.0,0.0,845.0,1125.0,0.0
200.0,28,180.0,0.0,0.0,845.0,1125.0,0.0
225.0,7,181.0,0.0,0.0,833.0,1113.0,0.0
225.0,28,181.0,0.0,0.0,833.0,1113.0,0.0
325.0,7,184.0,0.0,0.0,783.0,1063.0,0.0
325.0,28,184.0,0.0,0.0,783.0,1063.0,0.0
275.0,7,183.0,0.0,0.0,808.0,1088.0,0.0
275.0,28,183.0,0.0,0.0,808.0,1088.0,0.0
300.0,7,184.0,0.0,0.0,795.0,1075.0,0.0
300.0,28,184.0,0.0,0.0,795.0,1075.0,0.0
375.0,7,186.0,0.0,0.0,758.0,1038.0,0.0
375.0,28,186.0,0.0,0.0,758.0,1038.0,0.0
400.0,28,187.0,0.0,0.0,745.0,1025.0,0.0
400.0,7,187.0,0.0,0.0,745.0,1025.0,0.0
250.0,7,182.0,0.0,0.0,820.0,1100.0,0.0
250.0,28,182.0,0.0,0.0,820.0,1100.0,0.0
350.0,7,186.0,0.0,0.0,770.0,1050.0,0.0
350.0,28,186.0,0.0,0.0,770.0,1050.0,0.0
203.5,7,203.5,305.3,0.0,630.0,963.4,0.0
250.2,90,203.5,166.8,0.0,694.1,977.6,0.0
157.0,90,192.0,236.0,0.0,781.2,935.4,0.0
141.3,28,203.5,212.0,0.0,748.5,971.8,0.0
166.8,3,203.5,250.2,0.0,692.6,975.6,0.0
122.6,90,203.5,183.9,0.0,800.1,958.2,0.0
183.9,3,203.5,122.6,0.0,800.0,959.2,0.0
102.0,3,192.0,153.0,0.0,942.0,887.0,0.0
102.0,90,192.0,153.0,0.0,942.0,887.0,0.0
122.6,28,203.5,183.9,0.0,800.1,958.2,0.0
166.8,28,203.5,250.2,0.0,692.6,975.6,0.0
200.0,3,192.0,133.0,0.0,806.2,965.4,0.0
108.3,28,203.5,162.4,0.0,849.0,938.2,0.0
305.3,7,203.5,203.5,0.0,631.0,965.4,0.0
108.3,90,203.5,162.4,0.0,849.0,938.2,0.0
116.0,90,192.0,173.0,0.0,891.9,909.8,0.0
141.3,7,203.5,212.0,0.0,748.5,971.8,0.0
157.0,28,192.0,236.0,0.0,781.2,935.4,0.0
133.0,28,192.0,200.0,0.0,839.2,927.4,0.0
250.2,7,203.5,166.8,0.0,694.1,977.6,0.0
173.0,7,192.0,116.0,0.0,856.8,946.8,0.0
192.0,3,192.0,288.0,0.0,716.1,929.8,0.0
192.0,28,192.0,288.0,0.0,716.1,929.8,0.0
153.0,3,192.0,102.0,0.0,943.1,888.0,0.0
288.0,3,192.0,192.0,0.0,717.8,932.0,0.0
305.3,28,203.5,203.5,0.0,631.0,965.4,0.0
236.0,7,192.0,157.0,0.0,749.1,972.6,0.0
173.0,3,192.0,116.0,0.0,856.8,946.8,0.0
212.0,7,203.5,141.3,0.0,750.0,973.4,0.0
236.0,3,192.0,157.0,0.0,749.1,972.6,0.0
183.9,90,203.5,122.6,0.0,800.0,959.2,0.0
166.8,7,203.5,250.2,0.0,692.6,975.6,0.0
102.0,7,192.0,153.0,0.0,942.0,887.0,0.0
288.0,28,192.0,192.0,0.0,717.8,932.0,0.0
212.0,28,203.5,141.3,0.0,750.0,973.4,0.0
102.0,28,192.0,153.0,0.0,942.0,887.0,0.0
173.0,28,192.0,116.0,0.0,856.8,946.8,0.0
183.9,28,203.5,122.6,0.0,800.0,959.2,0.0
133.0,90,192.0,200.0,0.0,839.2,927.4,0.0
192.0,90,192.0,288.0,0.0,716.1,929.8,0.0
133.0,7,192.0,200.0,0.0,839.2,927.4,0.0
305.3,3,203.5,203.5,0.0,631.0,965.4,0.0
236.0,90,192.0,157.0,0.0,749.1,972.6,0.0
108.3,3,203.5,162.4,0.0,849.0,938.2,0.0
157.0,7,192.0,236.0,0.0,781.2,935.4,0.0
288.0,7,192.0,192.0,0.0,717.8,932.0,0.0
212.0,3,203.5,141.3,0.0,750.0,973.4,0.0
212.0,90,203.5,141.3,0.0,750.0,973.4,0.0
153.0,28,192.0,102.0,0.0,943.1,888.0,0.0
236.0,28,192.0,157.0,0.0,749.1,972.6,0.0
116.0,28,192.0,173.0,0.0,891.9,909.8,0.0
183.9,7,203.5,122.6,0.0,800.0,959.2,0.0
108.3,7,203.5,162.4,0.0,849.0,938.2,0.0
203.5,28,203.5,305.3,0.0,630.0,963.4,0.0
203.5,3,203.5,305.3,0.0,630.0,963.4,0.0
133.0,3,192.0,200.0,0.0,839.2,927.4,0.0
288.0,90,192.0,192.0,0.0,717.8,932.0,0.0
200.0,7,192.0,133.0,0.0,806.2,965.4,0.0
200.0,28,192.0,133.0,0.0,806.2,965.4,0.0
250.2,3,203.5,166.8,0.0,694.1,977.6,0.0
122.6,3,203.5,183.9,0.0,800.1,958.2,0.0
153.0,90,192.0,102.0,0.0,943.1,888.0,0.0
200.0,90,192.0,133.0,0.0,806.2,965.4,0.0
116.0,3,192.0,173.0,0.0,891.9,909.8,0.0
173.0,90,192.0,116.0,0.0,856.8,946.8,0.0
250.2,28,203.5,166.8,0.0,694.1,977.6,0.0
305.3,90,203.5,203.5,0.0,631.0,965.4,0.0
192.0,7,192.0,288.0,0.0,716.1,929.8,0.0
157.0,3,192.0,236.0,0.0,781.2,935.4,0.0
153.0,7,192.0,102.0,0.0,943.1,888.0,0.0
141.3,90,203.5,212.0,0.0,748.5,971.8,0.0
116.0,7,192.0,173.0,0.0,891.9,909.8,0.0
141.3,3,203.5,212.0,0.0,748.5,971.8,0.0
122.6,7,203.5,183.9,0.0,800.1,958.2,0.0
166.8,90,203.5,250.2,0.0,692.6,975.6,0.0
203.5,90,203.5,305.3,0.0,630.0,963.4,0.0
310.0,3,192.0,0.0,0.0,830.0,1012.0,0.0
310.0,7,192.0,0.0,0.0,830.0,1012.0,0.0
310.0,28,192.0,0.0,0.0,830.0,1012.0,0.0
310.0,90,192.0,0.0,0.0,830.0,1012.0,0.0
310.0,120,192.0,0.0,0.0,830.0,1012.0,0.0
331.0,3,192.0,0.0,0.0,821.0,1025.0,0.0
331.0,7,192.0,0.0,0.0,821.0,1025.0,0.0
331.0,28,192.0,0.0,0.0,821.0,1025.0,0.0
331.0,90,192.0,0.0,0.0,821.0,1025.0,0.0
331.0,120,192.0,0.0,0.0,821.0,1025.0,0.0
349.0,3,192.0,0.0,0.0,809.0,1056.0,0.0
349.0,7,192.0,0.0,0.0,809.0,1056.0,0.0
349.0,28,192.0,0.0,0.0,809.0,1056.0,0.0
349.0,90,192.0,0.0,0.0,809.0,1056.0,0.0
349.0,120,192.0,0.0,0.0,809.0,1056.0,0.0
238.0,7,186.0,0.0,0.0,789.0,1119.0,0.0
238.0,28,186.0,0.0,0.0,789.0,1119.0,0.0
296.0,7,186.0,0.0,0.0,769.0,1090.0,0.0
296.0,28,186.0,0.0,0.0,769.0,1090.0,0.0
297.0,7,186.0,0.0,0.0,734.0,1040.0,0.0
480.0,28,192.0,0.0,0.0,721.0,936.0,0.0
480.0,90,192.0,0.0,0.0,721.0,936.0,0.0
397.0,28,186.0,0.0,0.0,734.0,1040.0,0.0
281.0,7,186.0,0.0,0.0,774.0,1104.0,0.0
281.0,28,185.0,0.0,0.0,774.0,1104.0,0.0
500.0,1,200.0,0.0,0.0,613.0,1125.0,0.0
500.0,3,200.0,0.0,0.0,613.0,1125.0,0.0
500.0,7,200.0,0.0,0.0,613.0,1125.0,0.0
500.0,14,200.0,0.0,0.0,613.0,1125.0,0.0
500.0,28,200.0,0.0,0.0,613.0,1125.0,0.0
540.0,7,173.0,0.0,0.0,613.0,1125.0,0.0
540.0,14,173.0,0.0,0.0,613.0,1125.0,0.0
540.0,28,173.0,0.0,0.0,613.0,1125.0,0.0
540.0,90,173.0,0.0,0.0,613.0,1125.0,0.0
540.0,180,173.0,0.0,0.0,613.0,1125.0,0.0
540.0,270,173.0,0.0,0.0,613.0,1125.0,0.0
350.0,7,203.0,0.0,0.0,775.0,974.0,0.0
350.0,14,203.0,0.0,0.0,775.0,974.0,0.0
350.0,28,203.0,0.0,0.0,775.0,974.0,0.0
350.0,56,203.0,0.0,0.0,775.0,974.0,0.0
350.0,90,203.0,0.0,0.0,775.0,974.0,0.0
350.0,180,203.0,0.0,0.0,775.0,974.0,0.0
385.0,1,186.0,0.0,0.0,763.0,966.0,0.0
385.0,3,186.0,0.0,0.0,763.0,966.0,0.0
385.0,7,186.0,0.0,0.0,763.0,966.0,0.0
385.0,14,186.0,0.0,0.0,763.0,966.0,0.0
385.0,28,186.0,0.0,0.0,763.0,966.0,0.0
331.0,180,192.0,0.0,0.0,825.0,978.0,0.0
331.0,360,192.0,0.0,0.0,825.0,978.0,0.0
349.0,3,192.0,0.0,0.0,806.0,1047.0,0.0
331.0,3,192.0,0.0,0.0,825.0,978.0,0.0
382.0,7,186.0,0.0,0.0,739.0,1047.0,0.0
382.0,28,186.0,0.0,0.0,739.0,1047.0,0.0
382.0,7,186.0,0.0,0.0,784.0,1111.0,0.0
281.0,28,186.0,0.0,0.0,774.0,1104.0,0.0
339.0,7,185.0,0.0,0.0,754.0,1069.0,0.0
339.0,28,185.0,0.0,0.0,754.0,1069.0,0.0
295.0,7,185.0,0.0,0.0,769.0,1069.0,0.0
295.0,28,185.0,0.0,0.0,769.0,1069.0,0.0
238.0,28,185.0,0.0,0.0,789.0,1118.0,0.0
296.0,7,192.0,0.0,0.0,765.0,1085.0,0.0
296.0,28,192.0,0.0,0.0,765.0,1085.0,0.0
296.0,90,192.0,0.0,0.0,765.0,1085.0,0.0
331.0,3,192.0,0.0,0.0,825.0,879.0,0.0
331.0,7,192.0,0.0,0.0,825.0,978.0,0.0
331.0,28,192.0,0.0,0.0,825.0,978.0,0.0
331.0,90,192.0,0.0,0.0,825.0,978.0,0.0
349.0,7,192.0,0.0,0.0,806.0,1047.0,0.0
349.0,28,192.0,0.0,0.0,806.0,1047.0,0.0
349.0,90,192.0,0.0,0.0,806.0,1047.0,0.0
349.0,180,192.0,0.0,0.0,806.0,1047.0,0.0
349.0,360,192.0,0.0,0.0,806.0,1047.0,0.0
302.0,14,203.0,0.0,0.0,817.0,974.0,0.0
302.0,180,203.0,0.0,0.0,817.0,974.0,0.0
525.0,180,189.0,0.0,0.0,613.0,1125.0,0.0
500.0,90,200.0,0.0,0.0,613.0,1125.0,0.0
500.0,180,200.0,0.0,0.0,613.0,1125.0,0.0
500.0,270,200.0,0.0,0.0,613.0,1125.0,0.0
540.0,3,173.0,0.0,0.0,613.0,1125.0,0.0
252.0,7,185.0,0.0,0.0,784.0,1111.0,0.0
252.0,28,185.0,0.0,0.0,784.0,1111.0,0.0
339.0,28,185.0,0.0,0.0,754.0,1060.0,0.0
393.0,3,192.0,0.0,0.0,758.0,940.0,0.0
393.0,28,192.0,0.0,0.0,758.0,940.0,0.0
393.0,90,192.0,0.0,0.0,758.0,940.0,0.0
382.0,7,185.0,0.0,0.0,739.0,1047.0,0.0
382.0,28,185.0,0.0,0.0,739.0,1047.0,0.0
252.0,7,186.0,0.0,0.0,784.0,1111.0,0.0
252.0,28,185.0,0.0,0.0,784.0,1111.0,0.0
310.0,7,192.0,0.0,0.0,850.0,970.0,0.0
310.0,28,192.0,0.0,0.0,850.0,970.0,0.0
310.0,90,192.0,0.0,0.0,850.0,970.0,0.0
310.0,180,192.0,0.0,0.0,850.0,970.0,0.0
310.0,360,192.0,0.0,0.0,850.0,970.0,0.0
525.0,3,189.0,0.0,0.0,613.0,1125.0,0.0
525.0,7,189.0,0.0,0.0,613.0,1125.0,0.0
525.0,14,189.0,0.0,0.0,613.0,1125.0,0.0
525.0,28,189.0,0.0,0.0,613.0,1125.0,0.0
525.0,90,189.0,0.0,0.0,613.0,1125.0,0.0
525.0,270,189.0,0.0,0.0,613.0,1125.0,0.0
322.0,14,203.0,0.0,0.0,800.0,974.0,0.0
322.0,28,203.0,0.0,0.0,800.0,974.0,0.0
322.0,180,203.0,0.0,0.0,800.0,974.0,0.0
302.0,28,203.0,0.0,0.0,817.0,974.0,0.0
397.0,28,185.0,0.0,0.0,734.0,1040.0,0.0
480.0,3,192.0,0.0,0.0,721.0,936.0,0.0
522.0,7,146.0,0.0,0.0,896.0,896.0,0.0
522.0,28,146.0,0.0,0.0,896.0,896.0,0.0
273.0,28,210.0,105.0,9.0,680.0,904.0,82.0
162.0,28,179.0,190.0,19.0,741.0,838.0,148.0
154.0,28,220.0,144.0,10.0,658.0,923.0,112.0
147.0,28,202.0,115.0,9.0,829.0,860.0,89.0
152.0,28,168.0,178.0,18.0,695.0,944.0,139.0
310.0,28,168.0,143.0,22.0,651.0,914.0,111.0
144.0,28,158.0,0.0,18.0,844.0,943.0,175.0
304.0,28,214.0,140.0,6.0,722.0,895.0,0.0
374.0,28,190.0,0.0,7.0,730.0,1013.0,0.0
159.0,28,175.0,149.0,15.0,720.0,953.0,116.0
153.0,28,200.0,239.0,6.0,684.0,1002.0,0.0
310.0,28,168.0,143.0,10.0,804.0,914.0,0.0
305.0,28,196.0,0.0,10.0,705.0,959.0,100.0
151.0,28,167.0,0.0,12.0,772.0,991.0,184.0
142.0,28,174.0,167.0,11.0,785.0,883.0,130.0
298.0,28,201.0,137.0,6.0,655.0,878.0,107.0
321.0,28,190.0,164.0,5.0,774.0,870.0,0.0
366.0,28,191.0,187.0,7.0,757.0,824.0,0.0
280.0,28,172.0,129.0,9.0,805.0,825.0,100.0
252.0,28,194.0,97.0,8.0,821.0,835.0,76.0
165.0,28,182.0,0.0,12.0,729.0,1023.0,150.0
156.0,28,180.0,243.0,11.0,698.0,1022.0,0.0
160.0,28,203.0,188.0,11.0,710.0,829.0,146.0
298.0,28,186.0,0.0,6.0,815.0,879.0,107.0
318.0,28,210.0,0.0,6.0,737.0,861.0,126.0
287.0,28,188.0,121.0,9.0,696.0,904.0,94.0
326.0,28,174.0,166.0,9.0,790.0,882.0,0.0
356.0,28,193.0,0.0,11.0,778.0,801.0,142.0
132.0,28,179.0,207.0,5.0,736.0,867.0,161.0
322.0,28,186.0,149.0,8.0,709.0,951.0,0.0
164.0,28,181.0,0.0,13.0,846.0,849.0,200.0
314.0,28,170.0,0.0,10.0,783.0,925.0,113.0
321.0,28,182.0,0.0,11.0,780.0,870.0,128.0
140.0,28,237.0,164.0,6.0,656.0,869.0,128.0
288.0,28,177.0,121.0,7.0,829.0,908.0,0.0
298.0,28,210.0,0.0,11.0,744.0,880.0,107.0
265.0,28,195.0,111.0,6.0,790.0,833.0,86.0
160.0,28,168.0,250.0,12.0,688.0,1049.0,0.0
166.0,28,183.0,260.0,13.0,827.0,859.0,0.0
276.0,28,180.0,116.0,9.0,768.0,870.0,90.0
322.0,28,196.0,0.0,10.0,813.0,818.0,116.0
149.0,28,193.0,139.0,6.0,780.0,892.0,109.0
159.0,28,176.0,187.0,11.0,789.0,990.0,0.0
261.0,28,201.0,100.0,9.0,761.0,864.0,78.0
237.0,28,247.0,92.0,6.0,695.0,853.0,71.0
313.0,28,178.0,0.0,8.0,689.0,1002.0,113.0
155.0,28,193.0,183.0,9.0,697.0,1047.0,0.0
146.0,28,202.0,230.0,3.0,872.0,827.0,0.0
296.0,28,221.0,0.0,11.0,778.0,819.0,107.0
133.0,28,196.0,210.0,3.0,795.0,949.0,0.0
313.0,28,178.0,145.0,8.0,824.0,867.0,0.0
152.0,28,184.0,0.0,8.0,816.0,992.0,112.0
153.0,28,178.0,145.0,8.0,689.0,1002.0,113.0
140.0,28,200.0,133.0,7.0,753.0,916.0,103.0
149.0,28,176.0,236.0,13.0,893.0,847.0,0.0
300.0,28,212.0,0.0,10.0,728.0,878.0,120.0
153.0,28,178.0,145.0,8.0,824.0,867.0,113.0
148.0,28,158.0,0.0,16.0,830.0,1002.0,137.0
326.0,28,199.0,0.0,11.0,792.0,801.0,138.0
153.0,28,178.0,145.0,8.0,822.0,1000.0,0.0
262.0,28,195.0,111.0,5.0,733.0,895.0,86.0
158.0,28,220.0,0.0,11.0,713.0,898.0,195.0
151.0,28,167.0,0.0,16.0,678.0,1074.0,185.0
273.0,28,199.0,0.0,11.0,762.0,931.0,90.0
149.0,28,183.0,118.0,7.0,780.0,953.0,92.0
143.0,28,191.0,169.0,8.0,643.0,967.0,143.0
260.0,28,171.0,101.0,10.0,763.0,936.0,78.0
313.0,28,178.0,161.0,10.0,759.0,917.0,0.0
284.0,28,168.0,120.0,7.0,794.0,970.0,0.0
336.0,28,182.0,0.0,3.0,817.0,986.0,0.0
145.0,28,181.0,0.0,11.0,812.0,979.0,134.0
150.0,28,174.0,237.0,12.0,675.0,1069.0,0.0
144.0,28,192.0,170.0,8.0,805.0,814.0,133.0
